	Params	Ants_porcent	Number_Iterations	Strategy_Pheromone_Method	Bests_Results	Number_times_got_best_solution
58	Number of interations:15 Count_Ants_per_edges:2 Strategy_Pheromone_Method:ASR Q:10000 Alpha:1 Beta:2 Rho:0.5 W:5 Zeta:0.3	2	15	ASR	2195.3	0
59	Number of interations:15 Count_Ants_per_edges:2 Strategy_Pheromone_Method:ASR Q:10000 Alpha:1 Beta:2 Rho:0.5 W:5 Zeta:0.8	2	15	ASR	2161.3	0
64	Number of interations:15 Count_Ants_per_edges:1 Strategy_Pheromone_Method:EAS Q:100 Alpha:0.5 Beta:2 Rho:0.2 W:5 Zeta:0.3	1	15	EAS	2179.2	0
65	Number of interations:15 Count_Ants_per_edges:1 Strategy_Pheromone_Method:EAS Q:100 Alpha:0.5 Beta:2 Rho:0.2 W:5 Zeta:0.8	1	15	EAS	2178.9	0
66	Number of interations:15 Count_Ants_per_edges:1 Strategy_Pheromone_Method:EAS Q:100 Alpha:0.5 Beta:2 Rho:0.5 W:5 Zeta:0.3	1	15	EAS	2162.4	0
67	Number of interations:15 Count_Ants_per_edges:1 Strategy_Pheromone_Method:EAS Q:100 Alpha:0.5 Beta:2 Rho:0.5 W:5 Zeta:0.8	1	15	EAS	2161.6	0
68	Number of interations:15 Count_Ants_per_edges:1 Strategy_Pheromone_Method:EAS Q:100 Alpha:0.5 Beta:5 Rho:0.2 W:5 Zeta:0.3	1	15	EAS	2147.5	0
69	Number of interations:15 Count_Ants_per_edges:1 Strategy_Pheromone_Method:EAS Q:100 Alpha:0.5 Beta:5 Rho:0.2 W:5 Zeta:0.8	1	15	EAS	2153.1	0
70	Number of interations:15 Count_Ants_per_edges:1 Strategy_Pheromone_Method:EAS Q:100 Alpha:0.5 Beta:5 Rho:0.5 W:5 Zeta:0.3	1	15	EAS	2145.2	0
71	Number of interations:15 Count_Ants_per_edges:1 Strategy_Pheromone_Method:EAS Q:100 Alpha:0.5 Beta:5 Rho:0.5 W:5 Zeta:0.8	1	15	EAS	2145.1	0
72	Number of interations:15 Count_Ants_per_edges:1 Strategy_Pheromone_Method:EAS Q:100 Alpha:1 Beta:2 Rho:0.2 W:5 Zeta:0.3	1	15	EAS	2136.3	0
73	Number of interations:15 Count_Ants_per_edges:1 Strategy_Pheromone_Method:EAS Q:100 Alpha:1 Beta:2 Rho:0.2 W:5 Zeta:0.8	1	15	EAS	2145.9	0
74	Number of interations:15 Count_Ants_per_edges:1 Strategy_Pheromone_Method:EAS Q:100 Alpha:1 Beta:2 Rho:0.5 W:5 Zeta:0.3	1	15	EAS	2162.7	0
